"","item_nr1","Intercept1","Visit1","DiagnosisTD1","item_nr2","Intercept2","Visit2","DiagnosisTD2","item_nr3","Intercept3","Visit3","DiagnosisTD3"
"1",100,2.02565130700671,0.183618970731733,0.476341661117606,100,1.45301595357005,0.317681390423844,0.429484375953934,100,1.97350447509077,0.165154369802265,0.69751547775963
"2",105,2.03427144533524,0.179610109884543,0.334374204689047,105,1.53605230123817,0.312819251485915,0.345757250441661,105,1.98356443484533,0.160832139803852,0.710914789046587
"3",110,2.00113936856143,0.19320080831437,0.336668499945816,110,1.53792778904879,0.314366851642624,0.294149877223637,110,1.9928620703914,0.158447641367947,0.698082430169005
"4",115,2.03003148633865,0.179885332375003,0.314889294277277,115,1.56108049743845,0.328425472649509,0.262685723840383,115,2.06705369111036,0.147124765696694,0.662642173607032
"5",120,2.0714479571594,0.157203505773392,0.324647841955554,120,1.52838052079329,0.30992849741806,0.356554191227161,120,2.05760570601911,0.150207895425533,0.674205445333342
"6",125,2.01739854531986,0.167705889561917,0.353933931701271,125,1.52080844741907,0.312557568963857,0.393368372606852,125,2.0482963643623,0.153249521021716,0.644018934076502
"7",130,2.06778511709947,0.144775661472077,0.345788581908005,130,1.63704891862606,0.297702379939984,0.291479731115279,130,2.05478170719237,0.155424454059688,0.62950906907885
"8",135,2.07661186427449,0.140664498636817,0.319961780150177,135,1.64345941017251,0.294452986564576,0.292254041873097,135,2.10268325683012,0.150130366752347,0.497589351759652
"9",140,2.06900861002098,0.143293449089057,0.38103033738731,140,1.66435193328828,0.285794542251187,0.308889137798532,140,2.13785422655599,0.13667454347287,0.501765167675002
"10",145,2.07399679328748,0.14087759600101,0.323807531975735,145,1.64303773048005,0.29165844299169,0.316375784911244,145,2.19694194707045,0.145210196474599,0.411063374212044
"11",150,2.07746562575484,0.139275746206224,0.332150755911786,150,1.64022395788476,0.293739051632276,0.272137068549038,150,2.13635078766132,0.152946022635964,0.455342196575511
